fold,dataset,oa,aa,k
0,indian_pines,0.73,0.613,0.691
1,indian_pines,0.741,0.613,0.704
2,indian_pines,0.743,0.657,0.706
3,indian_pines,0.736,0.614,0.697
4,indian_pines,0.736,0.618,0.697
5,indian_pines,0.748,0.63,0.712
6,indian_pines,0.762,0.625,0.729
7,indian_pines,0.74,0.642,0.702
8,indian_pines,0.743,0.635,0.705
9,indian_pines,0.722,0.594,0.682
0,paviaU,0.923,0.903,0.898
1,paviaU,0.924,0.898,0.898
2,paviaU,0.918,0.894,0.89
3,paviaU,0.922,0.903,0.896
4,paviaU,0.928,0.908,0.904
5,paviaU,0.915,0.893,0.887
6,paviaU,0.917,0.889,0.889
7,paviaU,0.924,0.903,0.899
8,paviaU,0.92,0.904,0.894
9,paviaU,0.922,0.91,0.897
